11	6	5	13	25	17	27	20	13	20	26	8	28	19	15
18	30	29	1	21	2	5	20	5	19	16	25	9	24	6
6	12	26	16	21	20	11	13	5	24	22	14	25	29	10
23	29	19	17	14	4	26	16	5	24	6	1	2	15	24
30	6	5	18	17	3	18	11	12	24	8	16	18	27	1
22	21	24	13	26	23	12	19	7	12	18	6	22	26	11
1	15	20	25	23	30	3	11	21	13	2	21	3	1	17
4	27	5	15	22	24	22	25	27	8	24	1	12	11	26
29	15	13	12	30	19	30	27	10	12	5	7	1	19	10
20	10	5	6	17	14	19	2	14	28	2	26	11	21	20
3	11	5	5	22	10	22	6	2	24	9	20	14	5	8
2	8	22	4	23	22	5	16	22	29	21	12	7	2	30
13	17	14	28	16	15	12	14	24	15	15	21	28	3	8
6	16	21	18	22	6	30	5	27	27	26	8	12	5	26
29	26	11	5	6	24	8	30	7	20	11	3	3	16	1
25	16	19	2	23	6	30	9	21	6	19	18	9	26	22
28	28	20	4	11	2	25	22	13	15	29	26	4	24	5
15	17	13	6	6	23	27	19	3	19	19	26	26	15	30
25	1	16	10	6	27	15	26	13	2	4	19	1	5	12
11	4	26	25	10	27	13	30	25	24	16	15	24	17	27
21	16	1	5	21	10	25	19	14	23	5	20	4	30	4
10	24	22	12	28	27	8	1	10	26	15	21	24	5	12
3	7	29	13	15	27	28	8	30	28	1	8	26	24	10
15	19	17	30	10	10	17	12	20	20	27	17	21	12	2
16	23	1	3	5	27	6	17	19	21	1	7	17	20	25
4	14	24	20	1	29	3	26	14	4	15	12	16	5	19
2	20	18	30	11	16	6	3	2	4	16	9	3	20	18
6	26	11	11	6	27	6	21	27	25	26	29	13	29	26
15	5	19	26	18	3	28	27	20	13	15	25	2	14	8
14	13	15	28	4	26	9	27	25	5	21	13	26	9	8
7	14	9	16	28	11	11	23	8	13	8	15	18	7	14
12	25	6	27	5	7	1	5	7	23	23	21	9	9	25
21	12	17	7	1	18	5	24	2	30	3	27	14	30	19
5	28	17	24	13	22	4	28	9	21	1	9	6	11	21
26	19	29	3	4	16	4	2	1	8	15	19	4	24	21
30	10	28	19	8	22	3	12	5	26	14	24	5	26	24
24	30	25	28	17	4	5	20	27	17	10	24	25	2	1
4	26	18	5	26	13	5	10	24	5	23	15	3	20	26
13	18	5	16	19	30	13	11	17	10	27	4	22	16	8
30	16	11	24	3	12	2	23	8	21	13	15	2	22	25
22	19	16	20	23	7	14	8	25	5	24	12	13	21	14
25	4	19	29	20	6	2	24	2	8	24	14	19	12	15
